"Main";"Middle";"Sub";"Address";"Central";"Unfiltered";"Description";"DatapointType";"Security"
 ;"stromverbrauch"; ;"1/4/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links stromverbrauch";"1/4/1";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte mitte stromverbrauch";"1/4/2";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte rechts stromverbrauch";"1/4/3";"";"";"";"";"Auto"
 ; ;"EG Küche Arbeitszeile stromverbrauch";"1/4/4";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte stromverbrauch";"1/4/5";"";"";"";"";"Auto"
 ; ;"EG Küche Wandleuchte stromverbrauch";"1/4/6";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links stromverbrauch";"1/4/7";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Steckose mitte stromverbrauch";"1/4/8";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte stromverbrauch";"1/4/9";"";"";"";"";"Auto"
 ; ;"OG Bad Wandleuchte stromverbrauch";"1/4/10";"";"";"";"";"Auto"
 ; ;"OG Bad Lüfter stromverbrauch";"1/4/11";"";"";"";"";"Auto"
 ; ;"OG Bad Spiegelschrank stromverbrauch";"1/4/12";"";"";"";"";"Auto"
 ;"Nachtmododus"; ;"1/5/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links Nachtmododus";"1/5/1";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte mitte Nachtmododus";"1/5/2";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte rechts Nachtmododus";"1/5/3";"";"";"";"";"Auto"
 ; ;"EG Küche Arbeitszeile Nachtmododus";"1/5/4";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte Nachtmododus";"1/5/5";"";"";"";"";"Auto"
 ; ;"EG Küche Wandleuchte Nachtmododus";"1/5/6";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links Nachtmododus";"1/5/7";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Steckose mitte Nachtmododus";"1/5/8";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte Nachtmododus";"1/5/9";"";"";"";"";"Auto"
 ; ;"OG Bad Wandleuchte Nachtmododus";"1/5/10";"";"";"";"";"Auto"
 ; ;"OG Bad Lüfter Nachtmododus";"1/5/11";"";"";"";"";"Auto"
 ; ;"OG Bad Spiegelschrank Nachtmododus";"1/5/12";"";"";"";"";"Auto"
"Licht Dimmen"; ; ;"2";"";"";"";"";"Auto"
 ;"Dimmen relativ"; ;"2/1/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links Dimmen relativ";"2/1/1";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte Dimmen relativ";"2/1/5";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links Dimmen relativ";"2/1/7";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte Dimmen relativ";"2/1/9";"";"";"";"";"Auto"
 ;"Dimmen absolut"; ;"2/2/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links Dimmen absolut";"2/2/1";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte Dimmen absolut";"2/2/5";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links Dimmen absolut";"2/2/7";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte Dimmen absolut";"2/2/9";"";"";"";"";"Auto"
 ;"Status Dimmwert"; ;"2/3/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links Status Dimmwert";"2/3/1";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte Status Dimmwert";"2/3/5";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links Status Dimmwert";"2/3/7";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte Status Dimmwert";"2/3/9";"";"";"";"";"Auto"
"Lichtfarbe"; ; ;"3";"";"";"";"";"Auto"
 ;"Farbtemperatur"; ;"3/1/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links Farbtemperatur";"3/1/1";"";"";"";"";"Auto"
